trial_id,component_id,is_true,exact_mode_norm,ssl_clean,ssl_perturbed,esl,rsln_clean,rsln_perturbed,reln,snr_db,noise_model
4,10,1,0.962985334,0.103718923,0.004696448,0.004366079,0.10770561,0.004876967,0.004533899,0,gaussian
4,11,1,0.964998112,0.117827857,0.00559237,0.004512538,0.122101645,0.005795214,0.004676214,0,gaussian
4,12,1,0.965337587,0.140499818,0.006511187,0.005619728,0.145544751,0.006744984,0.005821516,0,gaussian
4,13,1,0.966581731,0.144403568,0.00688308,0.005777319,0.149396128,0.007121053,0.005977062,0,gaussian
4,14,1,0.967547205,0.186991124,0.008041446,0.006670153,0.19326305,0.008311166,0.006893879,0,gaussian
5,0,0,0.993158118,0.993108088,0.993105262,0.087042058,0.999949626,0.99994678,0.087641692,0,gaussian
5,1,0,0.994345826,0.994331819,0.994330354,0.038454309,0.999985913,0.99998444,0.038672973,0,gaussian
5,2,0,0.993893352,0.993870563,0.993866547,0.084778771,0.999977071,0.99997303,0.085299666,0,gaussian
5,3,0,0.994946793,0.994919568,0.994923172,0.039387611,0.999972636,0.999976258,0.039587656,0,gaussian
5,4,0,0.996571855,0.996535717,0.996532782,0.028353882,0.999963738,0.999960793,0.028451417,0,gaussian
5,5,0,0.993711123,0.993682558,0.993680781,0.080902068,0.999971254,0.999969466,0.081414071,0,gaussian
5,6,0,0.985965809,0.985953315,0.985950881,0.92372671,0.999987328,0.99998486,0.936874992,0,gaussian
5,7,0,0.995951595,0.995708331,0.995673399,0.053316078,0.999755746,0.999720673,0.0535328,0,gaussian
5,8,0,0.991932355,0.991801213,0.9917948,0.056756822,0.999867791,0.999861326,0.05721844,0,gaussian
5,9,0,0.997158684,0.996875037,0.996931772,0.031294704,0.999715544,0.999772441,0.031383876,0,gaussian
5,10,1,0.966700095,0.097243293,0.00453451,0.003573581,0.100593032,0.00469071,0.00369668,0,gaussian
5,11,1,0.965905244,0.088327934,0.004426872,0.003436922,0.091445754,0.004583132,0.003558239,0,gaussian
5,12,1,0.965741017,0.128124311,0.006359718,0.005009146,0.132669431,0.006585324,0.005186842,0,gaussian
5,13,1,0.966290722,0.131747405,0.006804737,0.005020941,0.136343444,0.007042121,0.005196098,0,gaussian
5,14,1,0.966847199,0.137811649,0.007333471,0.005378939,0.142537155,0.007584933,0.005563381,0,gaussian
6,0,0,0.995027828,0.994982069,0.9949619,0.02387407,0.999954012,0.999933743,0.023993369,0,gaussian
6,1,0,0.997924254,0.997906146,0.997908357,0.032813551,0.999981854,0.99998407,0.032881805,0,gaussian
6,2,0,0.993212593,0.993094804,0.993126988,0.075412468,0.999881406,0.999913811,0.075927821,0,gaussian
6,3,0,0.996510759,0.99647176,0.996474233,0.026296763,0.999960864,0.999963346,0.02638884,0,gaussian
6,4,0,0.99668517,0.996645497,0.996645495,0.053035582,0.999960194,0.999960193,0.053211971,0,gaussian
6,5,0,0.990990199,0.990964876,0.990968011,0.12540255,0.999974447,0.999977611,0.126542674,0,gaussian
6,6,0,0.992945282,0.992905703,0.992910529,0.04260829,0.99996014,0.999965001,0.042911015,0,gaussian
6,7,0,0.997368624,0.997328726,0.997328347,0.0189835,0.999959996,0.999959616,0.019033585,0,gaussian
6,8,0,0.993571217,0.993530998,0.993538636,0.815611236,0.999959521,0.999967209,0.820888551,0,gaussian
6,9,0,0.999402354,0.99882644,0.998783249,0.066682671,0.999423742,0.999380525,0.066722547,0,gaussian
6,10,1,0.965445329,0.117971593,0.005412877,0.004014554,0.122193966,0.005606611,0.00415824,0,gaussian
6,11,1,0.964174086,0.113218546,0.006201678,0.004448876,0.117425419,0.006432114,0.004614183,0,gaussian
6,12,1,0.964720529,0.145245418,0.008417667,0.00619866,0.150556989,0.008725498,0.006425343,0,gaussian
6,13,1,0.966541853,0.146677057,0.008298646,0.005441956,0.151754481,0.008585915,0.005630336,0,gaussian
6,14,1,0.966105018,0.14817297,0.008635128,0.006166023,0.153371494,0.008938084,0.006382353,0,gaussian
7,0,0,0.996319699,0.996296699,0.996306424,0.026475487,0.999976915,0.999986676,0.026573285,0,gaussian
7,1,0,0.998916158,0.998901822,0.998898716,0.016407112,0.999985648,0.999982539,0.016424914,0,gaussian
7,2,0,0.996362389,0.996345927,0.9963381,0.019237938,0.999983478,0.999975622,0.019308173,0,gaussian
7,3,0,0.995774821,0.995744764,0.99573341,0.01488516,0.999969815,0.999958414,0.014948319,0,gaussian
