snr_db,freq_sep,eig_mag,eig_mag_spread,rho_mode,delays_over_timesteps,num_delays,temporal_dim,spatial_dim,num_modes,top_amplitude,max_rank,artificial_damping,n_iter,dt,noise_mode,base_random_seed,random_seed,method,abs_diff_mean,abs_diff_std,bias_frac_over,bias_frac_under,bias_skewness,order_hit_prob,mean_time_sec,precision,recall,f1,accuracy,tp,fp,fn,tn,max_pa_clean_mean,max_pa_clean_std,sine_max_pa_clean_mean,sine_max_pa_clean_std,mean_pa_clean_mean,mean_pa_clean_std,max_pa_practical_mean,max_pa_practical_std,sine_max_pa_practical_mean,sine_max_pa_practical_std,mean_pa_practical_mean,mean_pa_practical_std,job_id
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,145196,GAP,1.0,0.0,0.0,1.0,,0.0,1.6844162120819093,,,,,,,,,0.8197601340107676,0.1197459152265469,0.7253119523435527,0.0663354324576365,0.4280974010869152,0.0598814021574754,0.2078616714367036,0.1820169227032145,0.1985794595505333,0.1344476769037562,0.1040216267757951,0.0910095874609451,145
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,144196,GAP,1.0,0.0,0.0,1.0,,0.0,1.2737553730010986,,,,,,,,,0.8253451016742367,0.1074602616575379,0.7302228804749704,0.0602068961291537,0.4308342379657642,0.0538452555099262,0.2091036731975546,0.1628949833112404,0.2014155058639098,0.1212956457553915,0.1046414788955835,0.0814455665825304,144
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,146196,GAP,1.0,0.0,0.0,1.0,,0.0,1.2864883208274842,,,,,,,,,1.084017831417584,0.3018433299949294,0.8430759218263248,0.1199843703495524,0.5556808261488151,0.1510466043369994,0.7436357734223722,0.5048795603534614,0.5845613393279204,0.3001438515459781,0.3719043488643399,0.2524479590618773,146
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,145196,NestedDMD,2.0,2.5837956575549854,0.238,0.686,2.0115822474572087,0.076,1.6844162120819093,0.4855403348554033,0.638,0.5514261019878998,0.8616,638.0,676.0,362.0,5824.0,0.8197601340107676,0.1197459152265469,0.7253119523435527,0.0663354324576365,0.4280974010869152,0.0598814021574754,0.2078616714367036,0.1820169227032145,0.1985794595505333,0.1344476769037562,0.1040216267757951,0.0910095874609451,145
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,144196,NestedDMD,1.954,2.6328471281105554,0.2,0.732,2.2225509111499853,0.068,1.2737553730010986,0.5060240963855421,0.63,0.5612472160356348,0.8686666666666667,630.0,615.0,370.0,5885.0,0.8253451016742367,0.1074602616575379,0.7302228804749704,0.0602068961291537,0.4308342379657642,0.0538452555099262,0.2091036731975546,0.1628949833112404,0.2014155058639098,0.1212956457553915,0.1046414788955835,0.0814455665825304,144
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,146196,NestedDMD,0.67,0.6671581521648373,0.036,0.612,7.21105862409584,0.352,1.2864883208274842,0.9598893499308436,0.694,0.8055716773070226,0.9553333333333334,694.0,29.0,306.0,6471.0,1.084017831417584,0.3018433299949294,0.8430759218263248,0.1199843703495524,0.5556808261488151,0.1510466043369994,0.7436357734223722,0.5048795603534614,0.5845613393279204,0.3001438515459781,0.3719043488643399,0.2524479590618773,146
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,145196,NestedDMD+ESL,1.996,2.49719522664929,0.356,0.528,1.8167773657937905,0.116,1.6844162120819093,0.4850340136054422,0.713,0.5773279352226721,0.8608,713.0,757.0,287.0,5743.0,0.8197601340107676,0.1197459152265469,0.7253119523435527,0.0663354324576365,0.4280974010869152,0.0598814021574754,0.2078616714367036,0.1820169227032145,0.1985794595505333,0.1344476769037562,0.1040216267757951,0.0910095874609451,145
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,144196,NestedDMD+ESL,2.038,2.722600962315264,0.322,0.556,1.909104638458624,0.122,1.2737553730010986,0.4709501025290499,0.689,0.5594803085667884,0.8553333333333333,689.0,774.0,311.0,5726.0,0.8253451016742367,0.1074602616575379,0.7302228804749704,0.0602068961291537,0.4308342379657642,0.0538452555099262,0.2091036731975546,0.1628949833112404,0.2014155058639098,0.1212956457553915,0.1046414788955835,0.0814455665825304,144
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,146196,NestedDMD+ESL,0.676,0.9181633841533868,0.056,0.55,6.33334968660351,0.394,1.2864883208274842,0.9200507614213198,0.725,0.8109619686800895,0.9549333333333332,725.0,63.0,275.0,6437.0,1.084017831417584,0.3018433299949294,0.8430759218263248,0.1199843703495524,0.5556808261488151,0.1510466043369994,0.7436357734223722,0.5048795603534614,0.5845613393279204,0.3001438515459781,0.3719043488643399,0.2524479590618773,146
10.0,0.0005,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,145196,STC,3.338,3.4922422596377816,0.556,0.282,0.7765928740671039,0.162,1.6844162120819093,0.2987012987012987,0.713,0.4210215529967523,0.7385333333333334,713.0,1674.0,287.0,4826.0,0.8197601340107676,0.1197459152265469,0.7253119523435527,0.0663354324576365,0.4280974010869152,0.0598814021574754,0.2078616714367036,0.1820169227032145,0.1985794595505333,0.1344476769037562,0.1040216267757951,0.0910095874609451,145
