snr_db,freq_sep,eig_mag,eig_mag_spread,rho_mode,delays_over_timesteps,num_delays,temporal_dim,spatial_dim,num_modes,top_amplitude,max_rank,artificial_damping,n_iter,dt,noise_mode,base_random_seed,random_seed,method,abs_diff_mean,abs_diff_std,bias_frac_over,bias_frac_under,bias_skewness,order_hit_prob,mean_time_sec,precision,recall,f1,accuracy,tp,fp,fn,tn,max_pa_clean_mean,max_pa_clean_std,sine_max_pa_clean_mean,sine_max_pa_clean_std,mean_pa_clean_mean,mean_pa_clean_std,max_pa_practical_mean,max_pa_practical_std,sine_max_pa_practical_mean,sine_max_pa_practical_std,mean_pa_practical_mean,mean_pa_practical_std,job_id
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,hetero,196,14196,ESR-Energy,1.02,0.2821347195933176,0.004,0.966,0.5206801670578726,0.03,0.3623472909927368,0.9979879275653925,0.6613333333333333,0.7955092221331195,0.932,992.0,2.0,508.0,5998.0,1.1732855890713554,0.1682161622521177,0.909048629964697,0.0648249246301865,0.5750253930376037,0.0573900988395354,1.1101668535211873,0.1948052445789217,0.8788960269448639,0.0863561436166362,0.4841210422366481,0.0659737054341561,14
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,bi_gaussian,196,13196,ExactModeNorm,0.24,0.4270831300812525,0.0,0.24,-1.217561555056202,0.76,0.5257310681343078,1.0,0.92,0.9583333333333334,0.984,1380.0,0.0,120.0,6000.0,0.772725560947346,0.0594693793034421,0.6968375811765642,0.0414340282662081,0.49770366950413,0.0214989574272286,0.4991647241192768,0.0718581517107258,0.4774017058312753,0.0614053832435965,0.2495348528062173,0.024691234723983,13
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,gaussian,196,12196,ExactModeNorm,0.256,0.4364218143035474,0.004,0.252,-1.0264169366079676,0.744,0.5207626361846924,0.998546511627907,0.916,0.9554937413073712,0.9829333333333332,1374.0,2.0,126.0,5998.0,0.7716982530833454,0.0527264548841055,0.6963733351760738,0.0369910737401732,0.4978475151851111,0.0194666009390844,0.4971362250207086,0.0657382380094744,0.4758462723894098,0.0566834070332327,0.2489289402931348,0.0230654051994452,12
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,hetero,196,14196,ExactModeNorm,0.988,0.1088852607105296,0.004,0.984,9.233071514925951,0.012,0.3623472909927368,0.997029702970297,0.6713333333333333,0.802390438247012,0.9338666666666666,1007.0,3.0,493.0,5997.0,1.1732855890713554,0.1682161622521177,0.909048629964697,0.0648249246301865,0.5750253930376037,0.0573900988395354,1.1101668535211873,0.1948052445789217,0.8788960269448639,0.0863561436166362,0.4841210422366481,0.0659737054341561,14
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,bi_gaussian,196,13196,FixedEigenvalueKVFit,,,0.0,0.0,,0.0,0.5257310681343078,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,0.772725560947346,0.0594693793034421,0.6968375811765642,0.0414340282662081,0.49770366950413,0.0214989574272286,0.4991647241192768,0.0718581517107258,0.4774017058312753,0.0614053832435965,0.2495348528062173,0.024691234723983,13
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,gaussian,196,12196,FixedEigenvalueKVFit,,,0.0,0.0,,0.0,0.5207626361846924,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,0.7716982530833454,0.0527264548841055,0.6963733351760738,0.0369910737401732,0.4978475151851111,0.0194666009390844,0.4971362250207086,0.0657382380094744,0.4758462723894098,0.0566834070332327,0.2489289402931348,0.0230654051994452,12
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,hetero,196,14196,FixedEigenvalueKVFit,,,0.0,0.0,,0.0,0.3623472909927368,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,1.1732855890713554,0.1682161622521177,0.909048629964697,0.0648249246301865,0.5750253930376037,0.0573900988395354,1.1101668535211873,0.1948052445789217,0.8788960269448639,0.0863561436166362,0.4841210422366481,0.0659737054341561,14
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,bi_gaussian,196,13196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.5257310681343078,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,0.772725560947346,0.0594693793034421,0.6968375811765642,0.0414340282662081,0.49770366950413,0.0214989574272286,0.4991647241192768,0.0718581517107258,0.4774017058312753,0.0614053832435965,0.2495348528062173,0.024691234723983,13
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,gaussian,196,12196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.5207626361846924,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,0.7716982530833454,0.0527264548841055,0.6963733351760738,0.0369910737401732,0.4978475151851111,0.0194666009390844,0.4971362250207086,0.0657382380094744,0.4758462723894098,0.0566834070332327,0.2489289402931348,0.0230654051994452,12
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,hetero,196,14196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.3623472909927368,0.2,1.0,0.3333333333333333,0.2,1500.0,6000.0,0.0,0.0,1.1732855890713554,0.1682161622521177,0.909048629964697,0.0648249246301865,0.5750253930376037,0.0573900988395354,1.1101668535211873,0.1948052445789217,0.8788960269448639,0.0863561436166362,0.4841210422366481,0.0659737054341561,14
